0.033,0.993,0.82,0.01,0.074,0.436,0.322,0.999,0.308,0.025,0.653,0.204,0.902,0.947,0.108,0.085,0.978,0.026,0.535,0.001,0.044,0.963,0.106,0.882,0.294,0.99,0.031,0.993,0.009,0.964,0.053,0.871,0.02,0.068,0.481,0.993,0.483,0.048,0.75,0.929,0.981,0.999,0.015,0.404,0.989,0.995,0.025,0.971,0.988,0.306,0.036,0.065,0.995,0.998,0.909,0.86,0.976,0,1,0.001,0.052,0.997,0.996,0.022,0.975,0.838,0.112,0.058,0.99,0.406,0.841,0.585,0.511,0.982,1,0.98,0.998,0.819,0.996,0.622,0.874,1,0.183,1,0.851,0.959,0.033,0.008,0.944,0.237,0.443,1,0.073,0.858,0.521,0.101,0.953,0.091,0.995,0.075,0,0.82,0.017,0.996,0,0.076,0.03,0.862,0.009,0.895,0.932,0.594,1,0.991,0.996,0.53,0.006,0.217,0.078,0.698,0.969,0.979,1,0.974,0.999,0.962,0.748,1,0.591,0.812,0.935,0.049,0.933,0.95,0.216,0.995,0,0.923,0.764,0.531,0.243,0,0.254,0.671,0.048,0.013,0.004,0.09,1,0.998,0.971,0.003,0.757,0.297,0.091,0.334,0.978,0.083,0.995,0.032,0.928,0.95,0.984,1,0.118,0.165,0.09,1,0.822,0.808,0.159,0.648,0.982,0.346,0.666,0.562,0.49,0.846,0.497,0.959,0.264,0.73,1,0.929,0.116,0.907,0.064,1,0.998,0.961,0.803,0.08,0.125,0.879,0.993,0.008,0.121,0.997,0.016,1,0.763,0.691,0.965,0.996,0.095,0.019,0.217,0.925,0.84,0.009,0.197,0.997,0.995,0.986,1,0.001,0.103,0.023,0.001,0.885,0.998,0.893,0.507,0.569,0.913,0.17,0.931,0.759,0.021,0.141,0.717,0.444,0.969,0.02,0.449,0.551,0.837,0.207,0.998,0.984,0.586,0.996,0.854,0.581,0.969,0.606,0.051,0.012,0.026,1,0.336,0.666,0,0.029,0.524,0,0.934,0.613,0.077,0.949,0.981,0.013,0.958,0.983,0.594,0.967,0,0.995,0.962,0.386,0.301,0.777,0.997,0.997,0.553,0.92,0.04,0.992,0.994
0.979,0.01,0.01,0.987,0.969,1,0.113,0.257,0.241,0.998,1,0.922,0.001,0.924,1,0.993,0.95,1,0.538,0.986,0.776,0.052,0.769,0,0.305,0,1,0.996,0.994,0.001,0.981,0.861,0.635,0.066,0.991,0.01,0.432,0.058,0.508,0.838,0.011,0.122,0.998,0.792,0.99,0.976,0.026,0.972,0.563,0.977,0.997,0.996,0.995,0.952,0.588,0.986,0.356,0.132,0.987,0.874,0.957,0.998,0.998,0.998,0.012,0.995,0.961,0.881,0.988,0.415,0.404,0.707,0.956,0.43,1,0.959,0.995,0.32,0.975,0.844,0.224,0.876,0.792,0.146,0.24,0.01,1,0.152,0.908,0.996,0.996,1,0.144,0.994,0.166,0.269,0.366,0.997,0.995,0.102,0.898,1,0.998,0.065,0.948,0.991,0.634,0.864,0.308,0.033,0.934,0.54,0.998,0.111,0.026,0.466,0.995,0.683,0.997,0.2,0.966,0.861,0.979,0.141,0.003,0.96,0.689,0.998,0.973,0.639,0.992,0.244,0.11,0.304,1,0.134,0.02,0.957,0.91,0.985,0.995,0.001,0.995,0.761,0.051,0.995,0.967,0.127,0.665,0.992,0.001,0.058,0.743,0.997,0.994,0.998,0.992,0.083,1,0.469,0.01,0.997,0.212,0.923,0.122,1,0.001,0.231,0.932,0.927,1,0.656,0.644,0.212,0.689,1,0.339,0.14,0.062,0.972,0.267,0.707,0.966,0.927,0.792,0.908,1,0.957,0.998,0.691,0.896,1,0.787,0,0.987,0.966,0.147,0.129,1,1,0.011,0.416,0,0.993,1,0.761,0.989,0.001,0.011,0.994,0.913,0.039,0.012,0.974,1,0,0.931,0.933,0.017,0.826,0.999,0.96,0.754,0.652,0.929,1,0.792,0.005,0.993,0.016,0,0.24,0.023,0.71,0.409,0.71,0.753,0.15,0.979,0.149,0.572,0.995,0.072,0.653,0.995,0.619,0.792,0.007,0.784,1,0.08,0.823,0.926,0.012,0.642,0.507,0.848,0.66,0.885,0.166,0.348,0.008,0.96,0.98,0.607,0.649,0.715,0.194,0.924,0.828,0.381,0.825,0.05,0.997,1,0.154,0.159,0.052,0.009
0.936,0.995,0.814,0.008,0.586,1,0.108,0.059,0.825,0.018,0.999,0.943,0.881,0.082,0.966,0.998,0.981,0.998,0.802,0.003,0.941,1,0.868,0,0.702,0.993,1,0.01,0.007,0.001,0.035,0.117,0.969,1,0.696,0.991,0.841,0.274,0.899,0.481,0.993,0.986,0.019,0.555,0.012,0.987,0.019,0.204,0.626,0.997,0.034,0.724,0.008,0.998,0.536,0.996,0.881,0,1,0.004,0.07,0.007,0.021,0.983,0.001,0.999,0.993,0.914,0.992,0.915,1,0.9,0.149,0.032,0.094,0.096,0.512,0.953,0.807,0.895,0.064,0.979,0.151,1,0.539,0.99,1,0.849,0,0.103,0.655,0.997,1,0.499,0.999,1,0.797,0.029,0.782,0.998,0,1,0.998,0.008,0.01,0.993,0.982,0.301,0.912,0.026,0.001,0.738,1,1,0.998,0.363,0.008,1,0.073,1,0.585,0.974,0.226,0.377,0.773,0.626,0.248,0.758,0.982,0.758,0.044,0.863,0.981,0.718,1,0.049,0.927,0.497,0.943,0.941,0.01,0.956,0.988,0.25,1,0.996,0,0.869,1,0.271,0.156,0.965,0.661,0.802,0.414,0.586,0.996,0.289,0.327,0.86,0.018,0.995,0.962,1,0.431,0.985,0.269,0.207,0.274,0.101,0.984,0.797,0.875,0.242,0.924,0.699,0.866,0.281,0.041,0.961,0.447,0.616,0.057,0.925,0.883,0.906,0.065,0.999,0.023,0.661,0.996,1,0.128,0.911,0.996,0.571,0.129,0.112,0.996,0.157,0.088,0.866,0.782,0.995,0.109,0.014,0.944,0.087,0.008,0.008,0.482,0.016,0.237,0.999,0.128,0.965,1,0.934,0.966,0.475,0.999,0.91,0.576,0.596,0.941,0.185,0.278,0.723,0.997,0.992,0,0.836,0.003,0.991,0.249,0.491,0.599,0.6,0.996,0.162,0.534,0.995,0.663,0.603,0.479,0.584,1,0.978,0.32,0.999,0.46,0.246,0.004,0.909,0.931,0.907,1,0.702,0.824,0.955,0.863,0.996,0.95,0.871,0.572,0.583,0,0.994,0.966,0.886,1,0.695,0.047,0.014,0.86,0.992,0.991,0.011,0.009
0,0.993,0.262,0.994,0.964,0.867,0.183,0.998,0.944,0.999,1,1,0.897,0.434,0.105,0.98,0.985,1,0.611,0.984,0.951,1,0.065,0.197,0.669,0.004,1,0.014,0.004,0.179,0.023,0.527,0.237,0.052,0.661,1,0.657,0.881,0.754,0.915,0.991,1,0.027,0.573,0.996,0.998,0.943,0.747,0.959,0.012,1,0.04,0.009,0.998,0.638,0.36,0.6,0.001,1,0.89,1,0.995,0.998,0.606,0.968,1,1,0.252,0.007,0.206,0.42,0.593,1,0.837,1,0.001,0.784,0.172,0.473,0.013,0.887,0.974,0.801,0.123,0.748,0.003,0.051,0.819,0.951,0.017,0.118,0.06,1,0.195,0.982,0.645,0.97,0.04,0.006,0.998,0,0.997,0.011,0.992,0.934,0.018,0.849,0.001,0.936,0.114,0.931,0.534,1,0.228,0.019,0.536,0.997,0.211,0.903,0.13,0.904,0.982,1,0.124,0.992,0.006,0.665,0.852,0.967,0.019,0.076,0.62,0.998,0.123,0.163,0.922,0.005,0.816,1,0.738,0.256,0,0.997,0.382,0.999,0.994,0,0.855,0.972,0.856,0.978,0.989,0.791,0.687,0.979,1,0.992,0.072,0.12,0.554,0.847,0.031,0.097,0.907,1,0.15,0.082,0.803,0,0.97,1,0.556,0.252,0.289,0.592,1,0.369,0.968,0.936,0.328,0.932,0.513,1,0.912,0.223,0.914,0.052,0.718,0.997,0.911,0.985,0.999,0.143,0.007,0.021,0.995,0.899,0.065,0.998,0.966,0.092,0.849,0.001,0.953,1,0.99,0.91,0.585,0.355,0.011,0.593,0.018,0.009,0.996,0.144,0.003,0.711,0.111,0,0.793,0.465,0.955,0.699,0.808,0.235,0.568,0.295,0.442,0.888,0.989,0.937,0.756,0.008,0.008,0.909,0.617,0.607,0.998,0.011,0.163,0.433,0.988,0.949,0.556,0.856,0.507,1,0.977,0.102,1,0.561,0.571,0.938,0.93,0.607,0.02,0.072,0.703,0.526,0.249,0.982,0.992,0.959,0.998,0.822,0.675,0,0.555,0.017,0.913,0.216,0.716,1,0.998,0.976,0.951,0.993,0.02,0.993
0.001,0.043,0.344,0.018,0.937,0.296,0.159,1,0.799,0.997,0.97,0.136,0.657,0.97,0.087,0.998,0.298,0.066,0.456,0.002,0.009,0.063,0.654,0,0.677,0.01,0.041,0.013,0.039,0.089,0.999,0.397,0.997,0.061,0.999,0.993,0.494,0.044,0.742,0.514,0.011,1,0.998,0.796,0.01,0.995,0.036,0.935,0.694,0.995,0.99,0.022,0.003,0.073,0.527,0.646,0.967,0.799,0.23,0.874,0.994,0.015,0.028,0.966,0.145,0.994,0.999,0.97,0.999,0.956,0.342,0.737,0.238,0.624,0.065,0.003,0.6,1,0.698,0.055,0.077,0.998,0.94,1,0.045,0.003,0.047,0.833,0.947,0.806,0.997,1,0.099,0.203,0.995,0.066,0.666,0.997,0.995,0.696,0.945,1,0.985,0.289,0.95,0.994,0.525,0,0.943,0.026,0.002,0.756,0.995,1,0.012,0.56,0.995,1,0.999,1,0.752,0.688,0.996,0.85,0.997,0.082,0.665,0.322,0.97,0.949,0.894,0.909,0.98,0.542,1,0.035,0,0.84,0.249,0.603,0.991,0.001,0.995,0.508,0.034,0.995,0,0.867,0.294,0.006,0,0.003,0.536,0.819,1,1,0.403,1,0.952,0.181,0.914,0.014,0.998,0.297,1,0.998,0.002,0.021,0.958,0.082,0.557,0.554,0.998,0.971,0.7,1,0.858,0.126,0.178,0.923,0.582,0.455,0.085,0.911,0.978,0.901,0.057,0.985,1,0.689,0.338,0.059,0.828,0,0.995,0.004,0.127,0.075,0.025,1,0.994,0.637,0.132,0.288,0.994,0.939,0.855,0.916,0.013,0.945,0.898,0.02,0.011,0.977,1,0.962,0.993,0,0.002,0.323,0.998,0.6,0.984,0.627,0.037,0.463,0.074,0.727,0.998,0.995,0.052,0.119,0,0.958,0.086,0.601,0.593,0.952,0.999,1,0.623,0.461,0.142,0.551,0.68,0.565,0.397,0.991,0.856,1,0.219,0.959,0,0.921,0.716,0.133,0.993,0.947,0.118,0.854,0.219,0.996,0.959,0.981,0.724,0.697,0,0.996,0.057,0.919,0.98,0.702,1,0.1,0.893,0.707,0.813,0.079,0.003
0.956,0.996,0.696,0.994,0.05,0.17,0.102,0.535,0.778,0.955,0.991,0.056,0.001,0.974,0.094,0.024,0.986,0.207,0.47,0.98,0.825,0.314,0.068,0,0.914,0.006,0.98,0.999,0.997,0.062,0.998,0.523,0.997,1,0.806,0.984,0.715,0.86,0.423,0.865,0.997,0.128,0.989,0.318,0.995,0.994,0.999,0.972,0.892,0.057,0.999,0.998,0.011,0.998,0.56,0.928,0.712,0.813,0.019,0.89,0.066,1,0.997,0.033,0.838,1,0.844,0.997,0.879,0.925,0.138,0.755,0.969,0.907,1,0.966,1,1,0.042,0.89,0.968,1,0.962,0.82,0.864,0.005,1,0.75,0.939,0.996,0.998,1,0.027,0.434,0.996,0.061,0.589,0.998,0.01,0.939,0,0.999,0.016,0.996,0.936,0.008,0.998,0,0.946,0.882,0.952,0.796,0.346,0.094,0.998,0.472,0.986,1,0.162,0.124,0.975,0.963,0.937,0.137,0.988,0.95,0.22,0.123,0.969,0.925,0.055,0.018,0.376,0.081,1,0.918,0.001,0.969,0.999,0.633,0.561,0.968,0.013,0.934,0.952,0.008,0.967,0.867,0.496,0.006,0.974,0.964,0.044,0.899,0.994,1,0.031,0.076,1,0.026,0.953,0.972,0.996,0.467,0.998,1,0.002,0.481,0.012,0.084,0.999,0.655,0.941,0.459,0.698,0.953,0.172,0.994,0.9,0.419,0.176,0.396,0.12,0.918,0.024,0.897,0.059,0.504,0.169,0.682,0.998,1,0.726,0.457,0.013,0.993,0.122,0.89,0.999,1,0.058,0.272,0.967,0.008,0.992,0.02,0.896,0.21,0.99,0.995,0.723,0.996,0.992,0.162,1,0.971,0.127,0.932,0,0.108,0.971,0.888,0.984,0.575,0.999,1,0.735,0.741,0.018,0.995,0.346,0.576,0.978,0.371,0.391,0.537,0.922,0.592,0.013,0.135,0.786,0.31,0.517,0.537,0.925,0.594,1,0.994,0.406,1,0.867,0.881,0.799,0.938,0.64,0.077,0.123,0.589,0.19,0.935,0.216,0.996,0.946,0.432,0.751,0.468,0.678,0.999,0.038,0.612,1,0.34,0.052,0.997,0.355,0.228,0.993,0.907,0.394
0.952,0.648,0.018,0.994,0.897,1,0.2,0.997,0.837,0.998,1,0.997,0.914,0.973,0.078,0.48,0.015,1,0.755,0.994,0.79,0.9,0.066,0.035,0.434,0.008,1,0.966,0.004,0.054,0.472,0.111,0.067,0.068,0.895,0.012,0.611,0.115,0.558,0.841,0.997,0.98,0.997,0.641,0.99,0.998,0.919,0.002,1,0.025,1,0.999,0.995,0.998,0.541,0.994,0.864,0.068,0.991,0.001,0.924,0.013,0.998,0.998,0.064,0.997,0.761,0.326,0.994,0.959,0.167,0.692,0.995,0.937,1,0.967,0.97,0.142,0.362,0.52,0.067,1,0.315,0.435,0.032,0.008,0.035,0.643,0.943,0.174,0.976,0.057,0.997,0.204,0.01,0.871,0.378,0.993,0.078,0.063,0.016,0.996,0.993,0.995,0.944,0.009,0.999,0.855,0.955,0.118,0.18,0.817,0.998,0.113,0.998,0.431,0.013,1,0.098,0.125,0.968,0.979,0.294,0.826,0.008,0.953,0.879,0.114,0.919,0.928,0.163,0.784,0.934,0.471,0.159,0.179,0.942,0.918,0.983,0.822,0.338,0,0.994,0.561,0.524,0.991,0,0.793,0.997,0.993,0.973,0.798,0.437,0.319,1,1,0.146,0.165,0.998,0.144,0.998,0.013,0.458,1,1,0.16,0.973,0.999,0.935,0.085,1,0.604,1,0.426,0.709,0.799,0.128,0.996,0.067,0.969,0.309,0.897,0.993,0.916,0.028,0.027,1,0.572,0.999,0.618,0.85,0.971,1,0.008,0.981,0.998,0.126,1,0.995,0.881,0.003,0.48,0.97,0.009,0.173,0.985,1,0.113,0.241,0.009,0.532,0.935,0.995,0.966,0.122,0.984,0.124,0.91,0.969,0.249,0.998,0.853,0.495,0.61,0.946,0.955,0.915,0.148,1,0.179,0.002,0.999,0.975,0.018,0.855,0.859,0.695,1,0.996,1,0.549,0.174,0.42,0.603,0.97,0.517,0.974,0.004,0.972,0.975,0.689,0.025,0.863,0.578,0.664,0.883,0.135,0.9,0.34,0.465,0.237,0.993,0.003,0.635,0.539,0.777,0,0.999,0.554,0.435,0.23,0.355,0.064,0.011,0.863,0.549,0.995,0.943,0.995
0.349,0.984,0.158,0.995,0.275,0.615,0.101,0.998,0.673,0.996,1,0.963,0.916,0.014,1,0.017,0.147,1,0.689,0.012,0.95,0.06,0.941,0,0.397,0.985,1,0.018,0.009,0.001,0.996,0.508,0.993,0.088,0.646,0.016,0.526,0.063,0.852,0.814,0.009,1,0.028,0.516,0.011,0.01,0.029,0.969,0.572,0.997,0.099,0.015,0.995,0.218,0.651,0.25,0.516,0.069,0.994,0.178,0.065,0.011,0.017,0.029,0,0.054,0.046,0.019,0.01,0.388,0.182,0.597,1,0.801,0.089,0.001,0.771,0.391,0.96,0.439,0.223,0.994,0.151,0.105,0.881,0.006,0.943,0.92,0,0.984,0.987,1,0.036,0.917,0.009,0.999,0.359,0.995,0.997,0.954,0.104,0.214,0.063,0.01,0,0.006,0.998,0,0.087,0.021,0.947,0.598,0.853,0.17,0.998,0.428,0.35,0.373,1,0.133,0.491,0.004,0.198,0.114,0.918,0.958,0.522,0.875,0.724,0.931,1,0.785,0.88,0.569,0.465,0.166,0.794,0.59,1,0.733,0.871,0.159,0.008,0.593,0.999,0.009,0.964,0.867,0.616,0.994,0.987,0.994,0.926,0.797,0.374,1,0.023,1,1,0.039,0.013,0.978,0.002,0.214,0.975,1,0.936,0.152,0.04,0.068,0.957,0.552,0.437,0.662,0.723,0.627,0.622,0.87,0.888,0.002,0.662,0.658,0.902,0.21,0.022,0.543,1,0.654,0.999,0.688,0.967,0.803,0.181,0.919,0.006,0.184,0.129,0.948,0.996,1,0.007,0.888,0.97,0.017,1,0.998,0.586,0.1,0.011,0.014,0.908,0.187,0.003,0.193,0.763,0.971,0.998,0.914,0.001,0.817,0.999,0.883,0.979,0.65,0.04,0.349,0.911,0.745,0.998,0.032,0.943,0.817,0.973,0.009,0.893,0.763,0.617,0.936,0.999,0.147,0.451,0.257,0.593,0.596,0.574,0.65,0.997,0.006,0.911,1,0.966,0.617,0.931,0.958,0.585,0.904,0.332,0.584,0.774,0.388,0.246,0.992,0.947,0.848,0.632,0.62,0,0.998,0.953,0.256,1,0.762,0.096,0.995,0.968,0.168,0.996,0.006,0.009
0.965,0.021,0.843,0.008,0.876,0.926,1,0.996,0.423,0.97,0.998,0.181,0.133,0.001,0.108,0.177,0.005,1,0.742,0.329,0.024,0.042,0.066,0.813,0.446,0.004,1,0.742,0.004,0.969,0.045,0.872,0.999,1,0.7,0.993,0.537,0.234,0.397,0.951,0.991,1,0.962,0.407,0.992,0.996,0.998,0.974,0.853,0.994,0.024,0.015,0.006,0.015,0.671,0.348,0.961,0.815,0.239,0.886,0.912,0.01,0.026,0.067,0.969,0.057,0.444,0.447,0.008,0.93,0.997,0.66,0.669,0.095,1,0.974,0.431,0.969,0.131,0.854,0.169,0.451,0.959,1,0.654,0.991,0.042,0.916,0.939,0.012,0.015,1,0.998,0.821,0.997,0.055,0.662,0.999,0.989,0.095,0.109,0.382,0.985,0.013,0.952,0.01,0.046,0.843,0.588,0.998,0.264,0.647,0.023,1,0.702,0.417,0.013,0.965,0.911,1,0.959,0.961,0.227,0.659,0.994,0.967,0.611,0.199,0.959,0.006,0.849,0.411,0.129,0.791,1,0.029,0.091,0.093,0.066,0.776,0.968,0.002,0.944,0.599,0.028,0.992,0.001,0,1,0.118,0.985,0.003,0.488,0.768,0.839,1,0.04,0.999,0.931,0.027,0.998,0.964,1,0.609,0.137,1,0.975,0.965,0.355,0.843,0.997,0.659,0.96,0.962,0.606,0.993,0.003,0.962,0.361,0.154,0.262,0.389,0.182,0,0.007,0.257,0.983,0.796,0.998,0.662,0.997,0.945,0.166,0.91,0.995,0.011,0.117,0.972,0.998,0.992,0.209,0.654,0,0.999,0.103,0.094,0.801,0.428,0.009,0.993,0.293,0.979,0.995,0.078,0.154,0.91,0.387,0.926,0.957,0.084,0.996,0.942,0.988,0.604,0.96,0.923,0.058,0.096,0.032,0.991,0.003,0.921,0.976,0.996,0.839,0.723,0.941,1,0.011,0.152,0.669,0.986,0.421,0.687,1,0.555,0.048,0.997,0.998,0.075,0.187,0.708,0.008,0.777,0.663,0.001,0.271,0.753,0.738,0.903,0.224,0.012,0.009,0.419,0.76,0.623,0.002,0.997,0.562,0.923,0.24,0.991,1,0.847,0.932,0.206,0.996,0.012,0.006
0.001,0.997,0.435,0.009,0.964,0.392,0.175,0.019,0.925,0.999,1,0.997,0.906,0.95,0.097,0.286,0.982,0.973,0.998,0.984,0.224,0.959,0.084,0.01,0.71,0.003,0.048,0.012,0.003,0.381,0.265,0.419,0.014,1,0.719,0.008,0.934,0.963,0.396,0.949,0.994,0.993,0.435,0.399,0.992,0.993,1,0.981,0.753,0.01,0.929,0.997,0.996,0.998,0.473,0.246,0.767,0,0.927,0.232,1,0.995,0.244,0.998,0.981,1,0.091,0.012,0.99,0.296,0.08,0.817,0.77,0.784,0.161,0.021,0.89,0.808,0.464,0.121,0.064,0.493,0.68,0.125,0.338,0.007,0.999,0.012,0.003,0.967,0.058,0.061,0.857,0.84,0.875,0.073,0.892,0.997,0.027,0.317,0.955,0.206,0.011,0.998,0,0.029,0.201,0.005,0.042,0.998,0.918,0.615,0.997,0.134,0.369,0.706,0.008,0.995,1,0.19,0.969,0.002,0.419,1,0.997,0.953,0.47,0.419,0.966,0.083,1,0.047,0.287,0.381,0.18,0.232,0.956,0.81,0.112,0.808,0.011,0,0.01,0.275,0.032,0.112,0,0.893,0.999,0.023,0.98,0.992,0.877,0.835,0.022,0.072,0.225,0.998,1,0.146,0.987,0.058,0.995,0.98,0.994,0.152,0.951,0.043,0,0.068,1,0.592,0.549,0.78,0.909,0.195,0.362,0.087,0.928,0.117,0.387,0.877,0.071,0.047,0.97,0.801,0.036,1,0.499,0.712,0.962,0.793,0.845,0,0.996,0.993,0.118,0.137,0.998,0.118,0.996,0.817,0.899,0.011,0.977,0.998,0.233,0.001,0.01,0.993,0.752,0.109,0.024,1,0.128,0.93,0.714,0.019,0.001,0.682,0.997,0.494,0.036,0.606,0.994,0.929,0.326,0.193,0.986,0.996,0.086,0.863,0.976,0.997,0.894,0.559,0.75,0.203,0.011,0.155,0.479,1,0.846,0.562,0.976,0.635,0.056,0.928,0.622,1,0.806,0.029,0.004,0.955,0.737,0.885,0.323,0.797,0.413,0.888,0.95,0.99,0.946,0.972,0.948,0.674,0.557,0.939,0.758,0.13,0.988,0.239,0.226,0.993,0.94,0.454,0.008,0.011,0.012
