0.998,0.216,0.079,0.976,0.967,0.894,0.996,0.98,1,1,0.041,0.282,1,0,0.695,0.607,0.403,0.162,0.718,1,1,0.051,0.973,0.81,0.09,0.005,0.828,1,0.968,0.757,0.741,0.441,1,0.916,0.902,0,0.886,1,0.293,0.421,1,0,0.027,0.692,0,1,1,1,1,0.848,0.268,0.986,0.937,0.765,0.812,0.739,0.709,0.999,1,0.546,0.998,0.168,1,0.653,0.003,0.758,0.99,0.9,0.751,0.58,0.743,0.855,0.904,0.001,1,0.999,1,0.885,0.995,0.939,0.728,0.381,0.581,0.244,0.526,0.694,0.856,0.999,0.98,0.539,1,0.751,0.761,0.663,0.96,0.464,0.715,0.34,1,0.256,0.999,0.752,0.014,0.724,1,0.003,1,0.937,0.076,0.94,0.495,0.213,0.758,0.116,1,0.287,1,0.448,0.922,0.614,0.026,0.98,0,0.2,0.215,0.545,0.836,0.686,0.831,1,0.587,0.7,0.281,0.571,0.965,0.029,0.961,0.834,0.331,0.473,0.823,0.974,0.985,0.111,0.962,0.034,0.791,0.418,0.754,0.982,0.005,0.988,0.817,0.037,1,1,0,1,0.551,0.561,0.799,1,0.265,0.491,0.051,0.012,0.987,0.92,0.926,0.578,1,0.766,0.317,0.697,1,0.191,0.974,0.156,0.854,0.09,0.96,1,0.05,0.997,0.997,0.818,1,0.999,0.972,0.538,0.972,0.999,1,0.819,0.881,0.695,0.033,0.962,0.017,0.998,0.997,0.552,0.401,0.024,1,0.86,0.998,0.526,1,0.012,1,1,0.732,0.963,0.057,1,0.951,0.008,0.065,0.956,0.915,0.953,1,0.894,0.908,0.346,0.25,0.995,0.713,1,0.502,0.567,0.948,0.133,0.887,0.493,1,0.912,0,1,0.498,0.697,0.456,1,1,0.519,1,0.676,0.978,1,0.54,0.931,0.819,0.947,1,0.978,0.722,0.729,0.174,1,0.62,0.44,1,0.543,1,0.958,0.152,0.453,0.821,0.563,0.993,0.006,1,0.965,0.991,0.427,0.871,1,0.649
1,0.156,0.001,1,0.398,0.978,1,0.1,0.982,0.739,0.65,0.45,0.005,0.478,0.717,0.91,0.34,0.994,0.552,1,0.391,0.25,0.997,0.077,1,1,0.521,0.082,0.712,0.505,0.998,0.15,0.979,0.829,0.643,1,0.959,0.126,0.184,0.962,0.872,0.999,0.999,0.182,1,0.57,1,1,0.189,0.729,0.89,0.927,1,1,0.756,0.948,0.716,0.236,0.387,0.998,0,0.002,0.001,0.996,0.378,0.016,0.767,0.837,0.215,0.827,0.641,0.781,0.474,0.987,0.999,0.009,0.335,0.99,0.094,0.935,0.765,0.851,0.96,1,0.7,0.438,0.355,0.024,0.127,0.081,0.992,0.999,0.925,0.189,0.931,0.323,0.859,0.978,0.346,0.978,0.078,0.888,0.002,1,0.411,1,1,0.278,1,0.023,0.664,0.925,0.997,0.524,0.904,0.494,0.969,0.823,0,0.589,0.979,0.533,0.011,0.547,1,0.998,0.162,0.643,0.805,0.98,1,0.655,0.491,0.316,0.898,0.158,1,0.446,0,0.773,1,0.999,0,0.504,0.091,1,0.01,1,0.724,0.375,0.998,1,0.989,0.542,1,1,1,0.007,0.877,0.13,0.232,0.937,1,0.96,1,0.015,0.595,1,0.148,0.927,0.643,0.518,0.837,0.989,0.998,0.998,0.155,0.722,0.329,0.641,0.965,0.784,0.989,1,0.485,0.941,0.733,0.871,1,0.354,1,0.994,1,0.995,0.003,1,0.733,0.5,0.879,0.065,0.513,0.428,0.701,0.981,0.993,0.983,0.754,1,0.998,0.994,0.97,0,0.019,0.99,0.999,0.46,1,0.991,0.994,0.668,1,0.925,0.392,0.982,0.695,0.798,1,0.75,0.892,0.902,0.772,0.977,0.291,1,0.339,0.532,0.012,0.607,0,0.909,0.813,0.996,0.168,0.002,0.002,0.991,0.951,0.529,0.002,0.273,0.844,0.779,0.542,0.384,0.921,0.935,0.96,0.249,0.71,1,0.99,1,0.059,0.612,0.867,0.555,0.035,1,0.999,0.435,0.396,0.999,0.191,0.748,0.938,0.477,0.998,0.753,1
0.535,1,0.4,0.994,0.993,0.111,0.277,0.14,0.569,1,0.698,0.134,0.993,0,0.601,0.171,0.997,0.41,0.973,0.071,0.843,0.69,0.537,1,0.494,1,0.674,0.973,1,0.779,0.997,0.846,0.999,0.902,0.962,0.712,0.897,1,0.381,0.626,0.999,0.673,0.935,0.903,0.949,0.809,1,0.996,0.077,0.958,1,0.332,0.004,1,0.593,0.274,1,0.094,0.699,0.637,0.434,1,1,1,0.71,0.993,0.985,0.083,0.309,0.731,0.088,0.485,0.998,0,1,1,0.677,0.668,0.228,0.991,0.906,0.6,0.79,0.999,0.723,0.003,0.498,0.525,0.996,0.945,0.775,1,0.276,0.549,1,0.966,0.813,0.848,0.002,0,0.58,0.951,0.073,1,0.198,0.973,0.35,0.963,0.747,1,0.48,0.984,0.651,0.72,1,0.289,0.987,0.55,0.977,0.955,0.04,0.458,0.97,0.971,0.944,0.219,0.306,0.957,0.529,0.001,0.93,0.544,0.576,0.999,0.69,0.197,0.998,0.433,1,0.998,0.495,0.029,0.007,0.602,0.57,0.009,1,0.987,1,0.81,0.935,0.133,0.798,0.478,0.982,0.824,0,1,0.901,0.17,0.683,1,0.997,1,1,0.073,0.721,0.998,1,0.005,0.966,0.703,0.998,0.698,1,0.881,0.082,0.884,0.276,0.271,0.468,0.997,0.129,0.102,0.078,0.894,0.283,1,0.953,0.837,0.212,0.928,0.065,0.6,0.996,1,1,0.33,1,0.649,1,0.448,0.204,1,0.091,0.311,0.552,0.587,0.863,0.919,0.598,0.992,0.998,0.746,0.997,0.9,0.855,0.808,0.521,0.172,0.973,0.901,0.305,0.725,0.656,0.999,1,0.914,1,1,0.09,1,0.998,0.714,0.348,0.832,1,0.197,0.93,0.99,0.815,0.958,0.45,0.784,0.943,0.87,1,0.493,0.875,1,0.513,0.99,0.418,0.861,0.589,0.812,0.061,0.255,0.605,0.036,0.719,0.001,0.968,0.529,0.749,0.585,0.952,0.998,1,0.164,0.902,0.577,0.998,0.999,0.912,0.509,0.282,0.114,0.868
0.209,1,0.79,0.004,0.997,0.016,0.505,0.999,0.937,0.902,0.993,0.043,0.781,1,0.815,0.931,0.625,1,0.545,0.997,0.51,0.948,0.949,0.041,0.8,1,0.01,0.678,0,0.994,0.97,0.992,1,0.999,0.001,0.08,0.215,0.026,0.965,1,0.991,0.871,0.616,0.706,1,0.966,0.23,1,0.65,0.665,0.882,0.833,0.997,0.086,0.627,1,0.996,0.485,0.011,0.314,0.676,1,0,0.009,0.537,0.996,1,0.797,0.7,0.518,0.855,1,0.708,0.975,1,1,0.987,0.469,0.36,0.327,0.072,0.693,0.558,1,0.651,0.999,0.721,0.054,0.252,0.995,0.895,0.001,0.15,0.208,0,1,0.473,0.451,1,0.009,0.867,0.399,0.984,0.981,0.032,0.956,0.112,0.983,0.995,1,1,0.045,0.188,0.998,1,0.605,0.503,0.515,0.988,0.215,0.098,0.919,0.989,0.509,0.953,0.932,0.392,0.348,0.996,0,0.961,0.998,0.545,0.978,1,1,0.127,0.774,1,0.737,0.946,1,0.458,0.578,0.947,1,0.137,0.239,0.945,0.51,0.826,0.58,0.499,1,1,0.995,0.031,0.687,0.562,0.91,0.4,0,0.972,0.328,0.072,0.44,0.595,0.004,0.957,0.908,0.965,0.758,0.191,0.906,0.814,0.416,0.008,0.518,0.425,0.189,0.999,0.939,0.65,0.221,0.938,0.761,0,0.925,0.487,1,0.896,0.999,0.905,0.723,0.22,1,0.783,0.452,0.169,0.759,0.981,0.536,0.57,0.005,0.16,0.39,0.722,0.887,0.046,0.003,0.162,0.011,1,0.97,1,0.836,0.518,0.788,0.795,0.133,0.622,0.017,0.115,1,0.967,0.429,0.996,0.648,0.577,0.211,0.975,0.086,0.022,0.997,0.232,0.189,0.646,0.967,0,0.846,0.544,0.485,0.173,0.005,0.123,0.608,0.92,0.756,0.096,0,0.084,0.085,0.405,0.104,0.801,0.949,0.128,0.68,0.993,1,0.596,0.61,1,0.389,0.602,0.701,0.903,0.995,0.716,0.138,0.167,0,0.603,1,1,0.856,0.727,0.027,0.782
0.592,0.723,0.609,0.644,0.969,0.661,0.515,0.868,0.03,0.547,0.998,0.54,0.067,1,0.468,0.719,0.229,0.87,0.313,0.926,0.745,0.594,0.218,0.928,0.646,0.632,0.505,0.502,0.999,0.637,0.742,0.049,0,0.327,0.9,0,0.878,0.683,0.883,0.727,1,0.051,0.733,0.966,1,0.794,1,0.063,0.757,0.98,0.674,0.369,0.087,0.396,0.353,0.508,0.996,0.398,0.612,0.881,0,0.971,0.999,0.788,0.018,1,0.642,0.897,0.894,0.527,0.537,0.901,0.692,1,0.502,1,0.622,0.136,0.522,1,0.805,0.992,0.497,0.005,0.539,0.439,0.79,0.978,0.764,0.934,1,0,0.007,1,0.826,0.499,1,0.234,0.88,0.694,0.999,1,0.003,0.993,0.232,0.969,0.993,0.019,0.997,0.001,1,0.957,0.91,0.282,0.033,0.335,0.924,0.971,1,0.081,0.081,1,0.997,0.821,1,0.887,1,0.737,0.342,1,1,0.074,0.972,0.924,0.834,0.539,0.971,0.205,1,0.664,0.881,0.914,0,0.264,0.883,0.469,0.246,0.94,0.761,0.793,1,0.489,0.943,0.362,0.864,0.629,0.097,0.987,0.331,0.676,0.763,0.849,0.732,0.718,0.968,0.963,0.74,0.998,0.997,0.878,0.195,0.42,0.988,0.299,0.545,0.652,0.694,0.301,0.988,0.028,0.085,0.996,0.038,0.125,0.933,1,1,1,0.831,0.847,0.209,0.998,0.624,0.966,0.998,0.355,1,0.547,0.335,0.221,0.606,0.465,0.28,0.813,0.968,1,0.759,0.391,0.448,0.87,0.6,1,0.535,0.747,1,0.937,0.92,1,0.203,0.059,0.113,0.999,0.929,0.073,0.204,0.621,0.029,0.846,0.173,0.971,0.778,0.958,0.991,1,0.172,0.623,1,0.98,0.694,0.539,0.665,0.491,0.735,1,0.901,0.695,1,0.412,0.999,1,0.734,0.761,0.51,0.02,0.438,0.958,0.416,0.47,0.626,1,0.611,1,0.606,0.495,0.613,0.327,0.665,0.988,1,0.646,0.982,0.027,0.892,0.499,0.414,0.733,0.514,0.167,0.982
0.783,0.003,0.684,1,0.857,0.982,0.104,0.402,1,0.998,1,0.623,0.781,0.056,0.275,0.429,0.135,0.004,0.705,0.976,0.987,0.679,1,0.553,0.769,0.018,0.323,0.893,0,0.845,0.727,0.736,0.598,0.999,0.993,0.001,0.043,0.008,0.661,0.328,1,0.992,0.172,0.434,0,0.178,1,1,0.743,0.466,0.374,0.054,0.991,1,0.536,0.232,0.954,0.157,0.003,0.995,1,0.794,0.035,0.802,0.945,0.899,1,0.86,0.824,0.437,0.914,0.139,0.68,0.056,0.1,0.903,0.176,0.854,0.941,0.822,0.728,0.86,0.418,0.738,0.979,0.049,0.575,0.876,0.755,0.565,0.927,1,0.001,0.469,0.975,1,0.264,0.983,0,0.117,0.319,0.93,0,0.6,0.888,0.437,0,0.009,0.868,0.998,0.004,0.474,0.128,0.531,1,0.349,0.868,0.444,0.048,0.553,0.852,0.076,0.999,0.83,0.97,1,0.608,0.316,0.506,0,0.046,0.967,0.998,0.62,1,1,0.532,1,1,0.638,0.183,0.939,1,0.398,1,0.927,0.995,0.912,0.661,1,1,0.02,0.997,0.616,0.322,0,1,0.984,0.998,0.863,0.497,0.435,0.963,0.623,0.013,0.641,1,0.952,0.903,1,0.508,0.569,0.368,0.879,0.983,1,0.892,0.448,0.028,0.527,0.615,0.681,0.351,0.495,0.98,0.113,0.897,0.999,1,0.897,0.299,1,0.937,0.227,0.496,0.128,0.561,0.822,0.941,0.349,1,0.546,0.729,1,0.767,0.369,0.194,0.041,0.004,1,0.682,1,1,0.4,0.021,0.98,1,0.006,0.965,0.999,0.997,0.796,0.258,0.999,0.245,0.767,0.064,0.85,0.997,0.923,1,0.982,1,1,0.06,0.24,0.999,0.056,0,0.999,0.618,1,0.998,1,0.078,0.594,1,0.314,0.886,0.91,0.606,0.999,0.531,1,0.638,0.882,1,0.51,1,1,0.768,1,0.854,0.341,0.999,0.918,0.028,1,0.998,1,0.81,0.885,0.039,0.054,0.999,0.427,0.94,0.963,1
0.982,0.962,0.911,0.964,0.833,0.357,0.317,0.968,1,0.999,0.884,0.384,0.001,0.165,0.465,0.982,0.995,0.089,0.655,0.85,0.918,0.138,1,0.608,0.714,0.995,0.858,0.695,0.004,0.56,1,1,0.736,0.102,0.986,0.444,0.934,0.997,0.488,0.497,0.998,0.64,0.07,0.713,0,0.997,0.002,0.087,0.819,0.994,0.072,0.93,0.599,0.052,0.769,1,0.048,0.848,0.491,1,0.821,0.879,1,0.941,0.18,1,0.833,1,0.185,0.982,0.903,0.306,1,1,0.546,0.999,0.92,0.521,0.042,1,0.986,0.658,0.396,0.003,0.465,0.427,0.441,0.959,0.221,0.998,0.217,1,1,0.39,0.988,0.964,0.224,0.634,0.999,0.999,0.976,0.602,0,0.005,0.98,0.007,1,0.996,0.219,0.993,0.188,1,0.475,0.238,1,0.688,0.002,0.974,0.035,0.672,0.686,0.715,0.996,0.412,0.055,1,0.819,0.564,0.474,1,0.753,0.818,1,0.998,0.913,0.996,0.9,0.806,0.001,0.359,0.016,1,1,0.962,0.842,0.008,0.016,0.178,0.745,0.196,0.979,0.802,0.497,0.322,0.4,0.991,1,1,0.929,0.538,0.38,0.31,0.08,0.881,0.948,1,0.064,0.28,0.095,0.438,0.633,0.963,0.305,0.132,0.544,0.918,0.051,0.616,0.676,1,0.716,1,0.089,1,1,1,0.501,0.182,0.137,0.443,0.99,1,0.209,0.624,0.999,0.994,0.653,0.995,0.001,0.902,0,0.676,0.98,1,0.89,0.992,1,0.998,0.795,0.998,0.228,0.025,1,0.515,1,0.997,0.253,0.712,0.537,0.838,1,0.73,1,0.81,0.265,0.941,0.737,0.908,0.856,0.997,0.182,0.995,0.743,0.413,0.714,0.427,0.845,0.988,0.001,0.697,0.44,0.383,0.593,1,1,0.423,0,0.879,0.993,0.614,0.932,0.301,0.462,0.929,0.531,1,0.057,0.34,0.763,0.973,0.776,0.001,1,0.575,0.998,1,0.11,0.462,0.901,0.647,0.961,0,0.055,0.954,0.999,0.864,0.399,0.009,0.417
0.965,0.999,0.916,1,0.828,0.065,1,0.631,1,0.989,1,0.768,0.021,1,0.711,0.468,0.112,0,0.652,0.011,1,0.095,0.999,0.064,0.882,1,0.742,0.326,0.996,0.826,0.188,0.999,1,0.757,1,0,0.591,1,0.769,0.98,0.079,0.412,0.022,0.942,0.001,0.804,1,0.985,0.498,0.999,0.981,0.476,0.987,0.999,0.795,0.687,0.887,0.302,0.977,0.222,0.067,0.005,1,1,0.002,0.948,0.998,0.047,0.596,0.418,0.71,0.682,0.922,0.873,1,1,0.894,0.556,0.9,1,0.94,0.551,0.665,1,0.041,0.264,0.204,0.078,0.941,0.426,0.038,1,0.768,0.616,0.953,0.14,0.156,0.998,0.972,0.003,0.971,0.975,1,0.005,0.008,0.809,1,0.848,0.622,0.989,0.005,0.997,0.841,0.313,1,0.613,0.011,0.999,0.328,0.779,0.749,1,0.026,0.505,1,0.098,0.586,0.996,0.778,0.21,1,0.681,0.996,1,0.999,0.424,0.138,0.536,0.917,0.21,0.049,0.455,0.821,0.887,0.234,0.804,0.064,0.203,0.721,0.893,0.072,0.025,0.801,0.477,0.884,0.998,1,0.495,0.787,0.945,0.55,1,0.984,0.785,0.84,0.892,0.252,1,1,0.861,0.769,0.461,0.913,0.977,0.938,0.073,0.553,0.173,0.863,0.966,0.875,0.555,0.298,0.499,0.038,0.893,0.001,0.706,0.003,0.114,1,0.114,0.742,0.628,0.021,0.987,0.995,0.745,0.965,0.388,0.456,0.549,0.172,0.009,1,0.016,0.118,0.029,0,0.009,0.064,0.059,1,0.688,1,0.332,0.211,0.106,0.822,0.14,0.885,0.9,0.796,0.853,0.999,0.586,0.907,0.057,1,0.951,0.754,0.079,1,0.447,0.987,0.503,0.528,0.754,0.568,0.619,0.55,0.395,0.796,0.007,1,0.597,1,0.671,1,1,0.297,0.059,0.44,0.011,0.615,0.998,0.992,0.516,0.511,1,0.439,1,0.999,0.539,0.945,0.241,0.049,0.982,0.864,0.271,1,0.675,0.697,1,1,0.546,0.998,0.314,0.569
0.74,0,0.078,0.508,1,0.916,0.289,0.832,1,0.948,0.815,0.637,0.96,1,0.617,0.522,1,0.975,0.978,0.488,0.998,0.595,0.339,0.147,0.126,1,0.981,0.95,1,0.461,0.974,0.752,0.97,0.231,1,0.097,0.516,0.377,0.721,0.911,0.065,0.999,1,0.769,0.063,0.797,0.998,0.999,0.642,0.556,0.157,0.995,0.582,1,0.631,0.929,0.174,0.082,0.069,0.996,1,0.988,1,0.998,0.239,0.993,0.41,0.139,0.753,0.668,0.749,0.688,1,0.998,0.684,0.414,0.522,0.499,0.721,0.359,0.834,0.89,0.872,1,0.342,0,0.574,0.821,0.066,0.101,0.004,0,0.995,0.07,0.003,0.696,0.309,0.799,0.999,0.692,0.397,0.725,0.886,0.996,0.513,0.014,0,0.125,0.724,0.977,0.939,0.711,0.999,0.635,1,0.426,0.011,1,0.726,0.088,0.251,0.945,0.021,0.121,0.275,0.814,0.99,0.478,0.558,0.528,1,0.913,0.093,0.981,0.879,0.949,0.169,0.341,1,0.774,0.153,1,1,0.668,0.96,0.011,0.786,1,0.951,0.767,0.001,0.536,0.492,0.998,0.616,0.994,0.185,0.244,0.133,1,0.337,1,0.982,0.738,1,1,0.399,0.97,0.626,0.023,0.485,0.594,0.467,0.07,0.891,0.557,0.999,0.985,1,0.399,0.234,0.585,0.999,0.945,0.033,0.576,0.712,0.993,0.944,1,0.033,0.26,1,0.445,1,0.508,0.063,0.202,1,0.783,1,0.49,0.651,0.076,0.999,0.403,0.841,0.95,1,0.891,0.999,0.969,1,0.686,1,1,0.351,0.792,0.839,0.058,0.691,1,0.373,0.95,0.567,0.51,0.317,0.156,1,0.976,0.007,0.151,0.874,0.002,0.84,0.392,0.386,0.998,1,0.794,0.407,1,0.75,1,0.375,0.801,1,0.287,0.988,0.031,0.131,0.21,0.53,0.999,0.549,0.352,0.569,0.398,0.924,0.003,0.353,0.025,0.227,0.678,0.666,0.353,0.018,0.964,0.571,0.687,0.995,0.022,1,0.159,0.917,1,1,1,1
1,0.996,0.006,0.814,0.033,0.472,0.329,1,1,1,1,0.988,0.006,1,0.488,0.561,0.39,0.936,0.45,0.333,0.047,0.512,1,0.999,0.305,1,0.702,0.875,0,1,0.263,0.069,1,0.477,1,0.011,1,1,0.811,1,0.014,0.253,1,0.629,0.063,0.328,0.002,0.99,0.747,0.631,0.524,1,0.448,0.981,0.716,0.342,1,0.1,0.214,0.065,0.997,0.999,1,1,0.849,0.835,1,0.813,0.968,0.884,1,0.873,0.975,0.084,0.983,0.92,0.505,1,0.991,0.825,0.163,0.696,0.989,0.426,0.131,0.892,0.942,0.927,0.895,0.842,0.998,1,0.099,0.148,0,0.453,0.674,0.945,0.081,0.749,0.999,0.571,1,0.217,0.997,0.233,0.212,0.998,0.807,1,0.769,1,0.675,0.614,0.879,0.799,0.738,0.611,0.06,0.682,0.926,1,0.182,0.357,0.002,0.002,0.282,0.802,0.25,0.857,0.926,0.762,0.814,0.917,1,0.673,0.471,0.998,0,0.487,0.993,0.124,1,0.298,0.048,1,0.019,0.291,0.756,0.032,0.01,0.291,0.999,0.042,0.193,0.989,0.496,0.718,0.737,0.899,0.672,0.844,1,0.994,0.834,1,0.001,0.001,0.998,0.922,0.284,0.619,0.545,0.747,0.694,1,0.272,0.893,0.016,1,0.949,1,1,0.977,0.699,0.941,0.01,0.705,0.23,0.745,0.932,0.948,1,0.158,0.973,1,0.486,0.998,0.939,0.072,0.25,0.577,0.837,0.949,1,1,0.579,0.043,0.157,0.883,0.139,1,0.091,0.422,0.912,0.777,0.419,0.995,0.621,0.733,1,1,0.429,0.875,0.163,0.789,0.124,1,0.946,0.911,0.721,0.998,0.411,0.53,0.996,0.692,0.903,0.272,0.28,0.999,0.304,0.572,0.096,1,1,0.393,1,0.668,0.998,0.689,0.049,0.914,0.392,0.082,0.359,0.026,0.268,0.204,0.977,1,0.959,0.117,0.594,0.373,0.983,1,0.99,1,0.945,0.806,0.621,1,0.38,1,0.837,0.295,0.027,0.045,0.996
