0.995,0.171,0.125,0.835,0.842,0.686,0.994,0.92,1,1,0.057,0.29,0.99,0,0.598,0.494,0.336,0.165,0.669,1,1,0.096,0.91,0.609,0.086,0.004,0.632,1,0.95,0.742,0.665,0.374,0.992,0.898,0.821,0.005,0.859,1,0.289,0.375,1,0,0.048,0.496,0,0.994,1,1,0.944,0.867,0.242,0.889,0.855,0.579,0.677,0.688,0.416,1,1,0.379,0.999,0.133,1,0.553,0.005,0.532,0.962,0.827,0.708,0.533,0.645,0.837,0.703,0,1,0.988,1,0.843,0.995,0.939,0.762,0.384,0.556,0.213,0.519,0.693,0.843,0.948,0.976,0.506,1,0.43,0.749,0.651,0.968,0.452,0.632,0.333,1,0.254,1,0.65,0.021,0.527,0.996,0,1,0.654,0.111,0.892,0.474,0.158,0.73,0.18,1,0.304,1,0.39,0.817,0.623,0.067,0.973,0.005,0.173,0.216,0.484,0.518,0.678,0.804,0.993,0.44,0.548,0.247,0.538,0.964,0.035,0.822,0.698,0.27,0.493,0.832,0.97,0.983,0.106,0.74,0.027,0.75,0.406,0.724,0.941,0.126,0.981,0.743,0.028,1,1,0,1,0.504,0.506,0.792,1,0.248,0.574,0.061,0.02,0.991,0.911,0.815,0.539,1,0.664,0.313,0.695,1,0.3,0.989,0.142,0.784,0.086,0.958,1,0.06,0.996,0.96,0.648,0.972,0.999,0.932,0.521,0.98,0.931,1,0.83,0.908,0.676,0.029,0.948,0.048,0.976,0.994,0.552,0.41,0.052,0.997,0.748,0.994,0.495,1,0.01,0.986,0.996,0.694,0.837,0.059,0.999,0.265,0.157,0.048,0.804,0.88,0.906,0.924,0.862,0.903,0.33,0.22,0.729,0.609,1,0.488,0.544,0.922,0.138,0.579,0.541,1,0.875,0.023,0.999,0.489,0.649,0.434,1,1,0.5,1,0.659,0.986,1,0.374,0.911,0.802,0.9,0.998,0.772,0.734,0.787,0.183,0.999,0.602,0.398,1,0.525,1,0.938,0.141,0.422,0.697,0.537,0.993,0,0.996,0.948,0.936,0.421,0.843,1,0.556
1,0.147,0.004,1,0.304,0.967,1,0.138,0.967,0.742,0.54,0.549,0.022,0.463,0.834,0.755,0.295,0.996,0.57,1,0.383,0.286,0.982,0.132,1,1,0.4,0.097,0.864,0.487,0.992,0.151,0.95,0.808,0.663,0.999,0.96,0.099,0.191,0.956,0.851,0.999,0.994,0.212,1,0.423,1,1,0.42,0.66,0.868,0.934,1,1,0.708,0.938,0.478,0.348,0.634,0.993,0,0.004,0,0.973,0.36,0.059,0.482,0.849,0.267,0.743,0.65,0.773,0.578,0.983,0.999,0.028,0.35,0.997,0.105,0.924,0.718,0.808,0.952,1,0.693,0.468,0.39,0.054,0.181,0.08,0.981,0.968,0.888,0.166,0.918,0.325,0.81,0.975,0.342,0.95,0.109,0.781,0.002,1,0.389,1,1,0.354,1,0.027,0.692,0.917,0.989,0.503,0.888,0.517,0.967,0.726,0.001,0.625,0.913,0.57,0.017,0.552,1,0.991,0.366,0.648,0.794,0.972,0.997,0.482,0.472,0.285,0.909,0.175,1,0.505,0,0.715,1,0.997,0,0.46,0.193,0.998,0.013,1,0.732,0.348,0.698,1,0.975,0.49,1,1,0.996,0.006,0.752,0.191,0.217,0.935,1,0.933,0.998,0.01,0.614,1,0.096,0.815,0.649,0.463,0.805,0.998,0.999,0.873,0.169,0.689,0.391,0.615,0.969,0.792,0.994,1,0.53,0.944,0.77,0.834,1,0.359,1,0.922,0.999,0.998,0.003,1,0.753,0.497,0.858,0.136,0.391,0.45,0.736,0.965,0.971,0.979,0.666,1,1,0.984,0.928,0,0.016,0.974,1,0.535,1,0.834,0.986,0.9,1,0.95,0.533,0.975,0.666,0.769,1,0.569,0.905,0.922,0.745,0.975,0.256,1,0.551,0.54,0.009,0.6,0,0.933,0.815,0.998,0.248,0.008,0.006,0.976,0.898,0.493,0,0.262,0.858,0.768,0.54,0.372,0.945,0.967,0.963,0.28,0.701,1,0.987,1,0.021,0.606,0.861,0.533,0.041,1,0.998,0.51,0.405,1,0.219,0.73,0.84,0.498,0.995,0.737,1
0.609,0.999,0.412,0.989,0.984,0.09,0.311,0.208,0.673,1,0.6,0.172,0.974,0,0.766,0.3,0.996,0.407,0.945,0.055,0.869,0.719,0.452,0.999,0.493,1,0.574,0.956,1,0.798,0.999,0.877,0.998,0.873,0.977,0.762,0.912,1,0.371,0.651,0.999,0.68,0.891,0.927,0.953,0.785,1,0.999,0.37,0.94,1,0.522,0.004,1,0.635,0.267,0.984,0.141,0.821,0.728,0.446,1,1,0.995,0.723,0.993,0.95,0.127,0.352,0.669,0.174,0.48,0.995,0,1,1,0.64,0.883,0.318,0.996,0.971,0.635,0.752,0.999,0.742,0.004,0.536,0.468,1,0.918,0.865,1,0.217,0.562,1,0.972,0.794,0.845,0.001,0,0.557,0.823,0.101,1,0.191,0.96,0.324,0.908,0.689,1,0.586,0.983,0.612,0.643,1,0.318,0.984,0.519,0.985,0.991,0.071,0.549,0.953,0.983,0.955,0.218,0.484,0.939,0.524,0.01,0.969,0.511,0.583,0.998,0.69,0.179,0.968,0.53,0.999,0.997,0.469,0.049,0.002,0.568,0.517,0.008,1,0.983,1,0.743,0.764,0.112,0.81,0.515,0.993,0.725,0,1,0.842,0.191,0.687,1,0.997,1,1,0.075,0.723,0.999,1,0.074,0.969,0.631,0.995,0.759,1,0.624,0.07,0.894,0.32,0.305,0.457,0.997,0.116,0.136,0.284,0.991,0.772,1,0.962,0.809,0.22,0.775,0.088,0.56,0.999,1,1,0.299,1,0.675,1,0.461,0.21,0.998,0.133,0.289,0.495,0.577,0.958,0.861,0.664,0.993,0.998,0.661,0.992,0.932,0.456,0.739,0.6,0.37,0.962,0.986,0.562,0.732,0.632,0.999,1,0.917,0.999,1,0.09,1,0.996,0.499,0.864,0.843,1,0.228,0.732,0.998,0.844,0.946,0.382,0.634,0.96,0.84,1,0.472,0.891,1,0.477,0.993,0.404,0.874,0.673,0.736,0.063,0.292,0.617,0.047,0.7,0,0.797,0.559,0.735,0.59,0.955,0.991,1,0.192,0.921,0.577,0.998,0.997,0.828,0.5,0.33,0.109,0.858
0.305,1,0.84,0.075,1,0.034,0.526,1,0.984,0.909,0.97,0.058,0.818,1,0.988,0.797,0.82,1,0.512,0.998,0.54,0.961,0.919,0.092,0.782,1,0.155,0.688,0,0.995,0.962,0.996,1,0.999,0.004,0.178,0.201,0.016,0.954,1,0.992,0.944,0.494,0.601,1,0.98,0.157,1,0.749,0.616,0.929,0.98,0.975,0.292,0.812,1,0.951,0.689,0.027,0.642,0.694,1,0,0.033,0.629,1,1,0.89,0.727,0.452,0.977,1,0.76,0.964,1,1,0.992,0.769,0.404,0.377,0.075,0.701,0.485,1,0.562,0.999,0.782,0.076,0.491,0.981,0.993,0.007,0.14,0.215,0,1,0.507,0.517,0.999,0.013,0.816,0.328,0.982,0.909,0.09,0.947,0.139,0.999,0.976,1,1,0.112,0.177,0.993,1,0.556,0.473,0.624,0.984,0.297,0.181,0.947,0.979,0.51,0.983,0.927,0.55,0.349,0.998,0.007,0.991,0.999,0.524,0.967,1,1,0.129,0.823,1,0.726,0.967,1,0.421,0.541,0.912,1,0.174,0.198,0.938,0.423,0.71,0.543,0.523,1,1,0.999,0.074,0.713,0.572,0.812,0.373,0,0.965,0.249,0.134,0.439,0.554,0.008,0.881,0.898,0.977,0.725,0.203,0.942,0.83,0.443,0.003,0.517,0.561,0.184,1,0.947,0.646,0.271,0.99,0.879,0.002,0.923,0.612,0.995,0.944,0.986,0.916,0.717,0.296,1,0.778,0.439,0.186,0.845,0.948,0.564,0.586,0.009,0.243,0.263,0.647,0.891,0.177,0,0.486,0.011,1,0.862,1,0.914,0.297,0.905,0.917,0.35,0.731,0.031,0.358,1,0.975,0.633,1,0.525,0.657,0.215,0.974,0.077,0.021,0.982,0.532,0.212,0.628,0.951,0.007,0.943,0.546,0.465,0.212,0.033,0.15,0.608,0.897,0.766,0.094,0,0.138,0.095,0.342,0.159,0.88,0.995,0.131,0.68,0.994,1,0.609,0.612,1,0.404,0.578,0.682,0.893,0.987,0.814,0.187,0.182,0.002,0.68,1,0.998,0.889,0.725,0.035,0.823
0.569,0.685,0.624,0.873,0.917,0.652,0.466,0.885,0.053,0.585,0.978,0.602,0.149,1,0.806,0.498,0.384,0.883,0.317,0.937,0.777,0.637,0.173,0.663,0.618,0.616,0.5,0.714,0.996,0.626,0.85,0.055,0.005,0.334,0.878,0.011,0.888,0.704,0.869,0.749,1,0.058,0.713,0.76,1,0.582,1,0.048,0.985,0.964,0.721,0.665,0.079,0.617,0.365,0.533,0.842,0.575,0.645,0.582,0,0.902,0.999,0.718,0.012,0.998,0.557,0.804,0.919,0.533,0.891,0.864,0.767,1,0.573,0.999,0.606,0.248,0.476,1,0.853,0.991,0.453,0.01,0.503,0.506,0.752,0.796,0.762,0.888,0.999,0,0.02,1,0.854,0.569,0.992,0.235,0.962,0.58,0.996,0.997,0.002,0.991,0.227,0.961,0.968,0.106,0.999,0,1,0.932,0.885,0.317,0.048,0.309,0.87,0.91,1,0.161,0.14,1,0.992,0.803,1,0.899,0.976,0.723,0.357,1,1,0.239,0.961,0.935,0.85,0.494,0.802,0.375,1,0.638,0.884,0.922,0,0.257,0.788,0.298,0.282,0.941,0.781,0.763,0.945,0.475,0.919,0.339,0.907,0.597,0.268,0.995,0.399,0.58,0.777,0.749,0.696,0.675,0.919,0.968,0.782,0.999,0.958,0.694,0.214,0.446,0.975,0.358,0.629,0.487,0.686,0.279,0.995,0.04,0.082,0.996,0.039,0.162,0.859,1,1,1,0.889,0.791,0.28,0.998,0.714,0.968,0.994,0.361,1,0.53,0.407,0.321,0.499,0.47,0.255,0.796,0.948,1,0.732,0.37,0.991,0.743,0.677,1,0.525,0.651,1,0.908,0.515,0.997,0.293,0.181,0.106,0.997,0.968,0.071,0.204,0.765,0.033,0.664,0.24,0.985,0.745,0.964,0.992,1,0.273,0.629,1,0.98,0.693,0.889,0.631,0.463,0.455,1,0.897,0.597,1,0.387,1,0.999,0.921,0.787,0.495,0.06,0.424,0.769,0.43,0.509,0.635,1,0.585,0.998,0.28,0.504,0.575,0.286,0.636,0.991,1,0.649,0.981,0.017,0.958,0.432,0.387,0.709,0.511,0.145,0.993
0.765,0.001,0.676,0.999,0.815,0.93,0.113,0.51,1,1,1,0.659,0.636,0.058,0.347,0.422,0.177,0.007,0.642,0.978,0.989,0.668,1,0.577,0.758,0.014,0.418,0.967,0,0.863,0.678,0.706,0.517,1,0.978,0.014,0.041,0.004,0.637,0.333,1,0.996,0.226,0.432,0,0.317,1,1,0.556,0.404,0.35,0.174,0.95,0.998,0.526,0.246,0.787,0.242,0.008,0.995,1,0.764,0.051,0.667,0.948,0.733,0.999,0.85,0.862,0.432,0.708,0.128,0.523,0.034,0.076,0.907,0.194,0.789,0.93,0.819,0.663,0.866,0.409,0.703,0.988,0.046,0.591,0.879,0.747,0.568,0.879,1,0.006,0.468,0.975,1,0.292,0.976,0,0.131,0.443,0.845,0,0.482,0.571,0.475,0,0.078,0.791,0.999,0.02,0.55,0.151,0.509,1,0.335,0.884,0.434,0.055,0.573,0.735,0.083,1,0.816,0.97,1,0.67,0.349,0.521,0.004,0.082,0.779,0.994,0.569,1,1,0.348,0.995,1,0.636,0.184,0.935,1,0.399,1,0.915,0.99,0.925,0.686,1,0.994,0.021,0.996,0.603,0.501,0,1,0.986,0.999,0.779,0.496,0.434,0.935,0.668,0.038,0.681,1,0.941,0.828,1,0.506,0.533,0.353,0.859,0.972,0.953,0.89,0.489,0.061,0.46,0.599,0.652,0.333,0.268,0.97,0.184,0.671,0.998,1,0.859,0.306,1,0.906,0.228,0.534,0.146,0.552,0.814,0.894,0.362,1,0.513,0.686,1,0.629,0.423,0.216,0.036,0.021,1,0.863,0.999,1,0.515,0.032,0.974,0.757,0.125,0.928,0.998,0.995,0.717,0.365,0.993,0.256,0.723,0.052,0.718,0.995,0.944,1,0.98,1,1,0.178,0.248,0.997,0.067,0.003,0.999,0.572,1,0.911,1,0.078,0.561,1,0.333,0.919,0.868,0.329,0.994,0.53,1,0.598,0.685,0.999,0.584,0.999,1,0.772,1,0.405,0.352,1,0.902,0.021,1,0.994,1,0.809,0.9,0.041,0.049,0.975,0.446,0.946,0.961,1
0.983,0.948,0.938,0.868,0.854,0.286,0.35,0.993,1,1,0.834,0.37,0.004,0.173,0.457,0.969,0.924,0.095,0.636,0.861,0.888,0.168,1,0.735,0.704,0.988,0.643,0.945,0.006,0.547,0.998,1,0.652,0.151,0.954,0.456,0.924,0.995,0.518,0.506,0.997,0.621,0.1,0.643,0,0.925,0.004,0.081,0.748,0.956,0.069,0.777,0.401,0.08,0.644,1,0.104,0.862,0.447,1,0.839,0.834,1,0.908,0.147,1,0.817,1,0.222,0.96,0.762,0.345,0.992,1,0.478,0.998,0.893,0.494,0.041,1,0.994,0.688,0.405,0.003,0.46,0.526,0.497,1,0.195,0.998,0.254,1,1,0.448,0.988,0.993,0.272,0.618,1,0.999,0.98,0.577,0,0.025,0.853,0.003,1,0.792,0.318,0.99,0.228,1,0.432,0.263,1,0.684,0.007,0.961,0.071,0.62,0.818,0.7,0.994,0.411,0.08,1,0.826,0.597,0.471,1,0.711,0.723,1,1,0.929,0.998,0.84,0.848,0,0.435,0.018,1,1,0.959,0.888,0.006,0.014,0.19,0.767,0.231,0.951,0.786,0.674,0.327,0.58,0.99,1,1,0.979,0.51,0.366,0.297,0.081,0.955,0.959,1,0.073,0.16,0.139,0.713,0.595,0.925,0.327,0.102,0.527,0.733,0.042,0.678,0.765,0.999,0.676,1,0.088,1,1,1,0.23,0.205,0.247,0.503,0.985,0.999,0.235,0.596,1,0.995,0.652,0.993,0.007,0.808,0,0.658,0.987,1,0.805,0.992,1,0.999,0.805,1,0.563,0.013,1,0.571,0.998,0.999,0.311,0.886,0.515,0.508,1,0.628,0.999,0.783,0.241,0.88,0.674,0.743,0.85,0.996,0.307,0.991,0.686,0.358,0.51,0.408,0.845,0.985,0.069,0.691,0.533,0.358,0.524,1,1,0.446,0.006,0.846,0.998,0.581,0.997,0.317,0.458,0.958,0.51,1,0.057,0.354,0.739,0.963,0.788,0,0.999,0.566,0.998,1,0.083,0.409,0.789,0.609,0.963,0,0.064,0.963,0.992,0.864,0.395,0.004,0.536
0.971,1,0.921,0.999,0.963,0.085,1,0.843,1,0.991,1,0.732,0.054,1,0.643,0.488,0.14,0,0.636,0.009,1,0.129,1,0.311,0.851,0.999,0.723,0.627,0.994,0.834,0.238,0.998,1,0.76,1,0.002,0.573,1,0.795,0.987,0.091,0.41,0.027,0.987,0,0.473,1,0.969,0.685,0.986,0.968,0.495,0.933,0.998,0.625,0.677,0.599,0.356,0.99,0.405,0.045,0.003,0.999,1,0.006,0.833,0.996,0.076,0.64,0.407,0.571,0.688,0.703,0.869,1,1,0.899,0.589,0.879,1,0.858,0.564,0.653,1,0.046,0.369,0.249,0.087,0.934,0.438,0.054,1,0.786,0.687,0.944,0.147,0.184,0.999,0.982,0.003,0.988,0.957,1,0.027,0.044,0.768,1,0.902,0.781,0.997,0.011,0.999,0.842,0.331,1,0.601,0.025,1,0.395,0.733,0.837,1,0.029,0.542,1,0.138,0.57,0.997,0.794,0.313,1,0.575,0.999,1,1,0.375,0.228,0.72,0.877,0.294,0.035,0.439,0.863,0.896,0.495,0.815,0.054,0.253,0.77,0.875,0.195,0.025,0.927,0.427,0.931,0.998,1,0.515,0.878,0.931,0.575,1,0.992,0.891,0.923,0.902,0.314,1,0.999,0.99,0.753,0.439,0.913,0.954,0.929,0.275,0.535,0.209,0.968,0.974,0.852,0.595,0.313,0.671,0.144,0.703,0.01,0.787,0.032,0.178,1,0.193,0.775,0.611,0.02,0.992,0.994,0.855,0.937,0.362,0.676,0.531,0.18,0.026,1,0.058,0.104,0.025,0,0,0.39,0.039,1,0.803,1,0.448,0.471,0.25,0.723,0.261,0.876,0.86,0.837,0.864,0.996,0.558,0.918,0.244,0.999,0.964,0.948,0.061,0.999,0.426,0.994,0.501,0.533,0.757,0.645,0.639,0.561,0.453,0.838,0.036,1,0.542,1,0.66,1,1,0.271,0.029,0.439,0.032,0.611,1,0.995,0.555,0.471,1,0.503,1,0.983,0.59,0.934,0.253,0.037,0.983,0.758,0.239,1,0.663,0.653,1,1,0.528,1,0.31,0.689
0.699,0,0.088,0.386,1,0.886,0.535,0.737,1,0.911,0.785,0.573,0.791,1,0.596,0.443,1,0.988,0.986,0.459,0.997,0.558,0.343,0.469,0.098,1,0.997,0.76,1,0.489,0.972,0.736,0.905,0.214,0.999,0.188,0.525,0.364,0.786,0.881,0.06,0.996,1,0.593,0.09,0.52,0.994,1,0.665,0.553,0.132,0.97,0.473,1,0.502,0.918,0.184,0.1,0.117,0.877,1,0.99,1,1,0.158,0.996,0.589,0.187,0.71,0.619,0.642,0.659,1,1,0.705,0.654,0.519,0.497,0.668,0.316,0.645,0.9,0.892,1,0.359,0.001,0.695,0.77,0.073,0.102,0.025,0.004,0.999,0.073,0.001,0.69,0.344,0.777,1,0.594,0.42,0.766,0.915,0.944,0.275,0.021,0,0.205,0.843,0.957,0.912,0.617,1,0.541,1,0.433,0.01,0.983,0.776,0.116,0.431,0.936,0.039,0.139,0.285,0.85,0.707,0.501,0.538,0.609,1,0.616,0.189,0.986,0.844,0.897,0.27,0.412,1,0.813,0.151,1,1,0.624,0.994,0.015,0.807,1,0.951,0.755,0.065,0.429,0.422,0.998,0.576,0.995,0.136,0.282,0.359,1,0.351,1,0.982,0.904,1,1,0.409,0.967,0.86,0.193,0.493,0.556,0.44,0.057,0.885,0.565,0.996,0.986,1,0.372,0.25,0.577,0.993,0.978,0.18,0.506,0.591,0.988,0.986,0.998,0.03,0.301,1,0.429,1,0.48,0.055,0.277,1,0.545,1,0.489,0.67,0.152,0.999,0.525,0.787,0.95,1,0.925,0.885,0.978,1,0.832,1,1,0.597,0.955,0.782,0.131,0.633,1,0.532,0.932,0.571,0.518,0.323,0.349,1,0.961,0.009,0.152,0.889,0.004,0.595,0.396,0.395,1,0.98,0.806,0.476,1,0.713,1,0.378,0.72,0.999,0.303,0.984,0.053,0.197,0.186,0.55,1,0.542,0.037,0.596,0.453,0.926,0.003,0.352,0.107,0.195,0.657,0.644,0.335,0.02,0.967,0.453,0.594,0.999,0.007,1,0.147,0.804,0.997,1,1,1
1,0.992,0.016,0.585,0.057,0.39,0.508,1,1,1,1,0.991,0.006,1,0.469,0.496,0.329,0.958,0.424,0.29,0.034,0.642,1,1,0.309,1,0.59,0.722,0,1,0.303,0.07,1,0.429,1,0.019,1,1,0.76,1,0.018,0.181,1,0.623,0.074,0.395,0.002,0.997,0.501,0.701,0.447,1,0.449,0.819,0.605,0.332,0.999,0.156,0.297,0.108,1,0.999,1,1,0.796,0.6,1,0.766,0.964,0.831,0.997,0.87,0.821,0.064,0.976,0.956,0.538,1,0.995,0.836,0.251,0.67,0.99,0.415,0.155,0.872,0.933,0.994,0.883,0.781,0.983,0.993,0.135,0.158,0,0.445,0.639,0.945,0.042,0.701,1,0.608,1,0.213,0.949,0.242,0.212,0.953,0.736,1,0.784,1,0.671,0.562,0.958,0.784,0.777,0.57,0.118,0.668,0.796,0.996,0.21,0.364,0.007,0.009,0.397,0.773,0.27,0.719,0.955,0.906,0.886,0.944,1,0.59,0.379,0.985,0.002,0.46,0.993,0.13,1,0.291,0.17,1,0.032,0.326,0.845,0.067,0.14,0.309,1,0.041,0.147,0.986,0.279,0.629,0.639,0.911,0.663,0.892,1,0.973,0.81,1,0.001,0,0.984,0.715,0.29,0.588,0.526,0.723,0.678,0.993,0.206,0.836,0.024,1,0.949,1,1,0.999,0.622,0.91,0.11,0.693,0.584,0.725,0.939,0.741,1,0.156,0.981,1,0.461,1,0.906,0.123,0.184,0.541,0.853,0.925,1,1,0.544,0.038,0.26,0.881,0.135,1,0.08,0.618,0.845,0.875,0.642,0.861,0.502,0.596,1,1,0.456,0.884,0.17,0.736,0.101,0.998,0.939,0.884,0.852,0.998,0.316,0.552,0.844,0.686,0.936,0.293,0.275,0.997,0.412,0.585,0.169,0.994,1,0.406,1,0.715,0.996,0.646,0.131,0.916,0.374,0.108,0.402,0.087,0.281,0.244,0.965,1,0.944,0.097,0.546,0.369,0.983,1,0.979,1,0.909,0.728,0.698,0.999,0.316,1,0.725,0.333,0.042,0.043,0.992
